"ID","event_type","event_item","answer","event_comp","item_id","mean_event_item","sd_event_item"
2461,"plau","In einem zufällig ausgewählten Stadtteil in Deutschland gibt es mindestens eine Bäckerei.",100,"pos",45,86.9555555555555,16.5885441790351
2461,"plau","Ein zufällig ausgewähltes Haus in Deutschland hat mehr als 2 Stockwerke.",65,"pos",35,58.9777777777778,20.570818794073
2461,"plau","Ein zufällig ausgewähltes 12-jähriges deutsches Kind weiß NICHT, wie man ein Smartphone bedient.",90,"neg",41,87.0888888888889,14.2347561562635
2461,"plau","Eine zufällig ausgewählte Person in Deutschland besitzt mindestens ein Gerät, das sich mit dem Internet verbinden kann.",100,"pos",40,90.7777777777778,8.14607794331639
2461,"plau","In einem zufällig ausgewählten Jahr wird die Höchsttemperatur in Deutschland NICHT 32°C oder mehr erreichen.",68,"neg",39,74.9777777777778,26.1007565972616
2461,"plau","Ein zufällig ausgewähltes deutsches Geschäft existiert NICHT seit mehr als 5 Jahren.",40,"neg",44,69.2444444444444,16.7957726764201
2461,"plau","In einem zufällig ausgewählten Jahr im Winter wird es in Deutschland Schneestürme geben.",5,"pos",37,29.2666666666667,28.0433106591799
2461,"plau","Eine zufällig ausgewählte Person in Deutschland geht täglich im Durchschnitt NICHT mehr als 50 Schritte.",95,"neg",36,88.8222222222222,21.22529461075
2461,"plau","An einem zufällig ausgewählten Tag im August wird das Wetter in Berlin trocken sein.",70,"pos",38,66.0888888888889,15.957076261906
2461,"plau","Eine zufällig ausgewählte Person in Deutschland wird sich im Laufe ihres Lebens eine Grippe einfangen.",80,"pos",42,85.7111111111111,18.8132233744612
2461,"plau","An einem zufällig ausgewählten Tag wird die Luftqualität NICHT akzeptabel für die Mehrheit der Bevölkerung in Deutschland sein.",0,"neg",46,79.1555555555556,22.4600205977761
2461,"plau","In einem zufällig ausgewählten Haushalt in Deutschland gibt es KEINE IKEA-Produkte.",95,"neg",47,73.3111111111111,22.8759721325696
2461,"plau","Eine zufällig ausgewählte Person in Deutschland wurde NICHT in einem Krankenhaus geboren.",90,"neg",43,88.7777777777778,9.20446751432272
2461,"plau","An einem zufällig ausgewählten Tag wird die Luftqualität akzeptabel für die Mehrheit der Bevölkerung in Deutschland sein.",0,"pos",46,77.5777777777778,24.0212868560829
2461,"plau","Ein zufällig ausgewähltes 12-jähriges deutsches Kind weiß, wie man ein Smartphone bedient.",100,"pos",41,87.8888888888889,15.3315216321002
2461,"plau","In einem zufällig ausgewählten Haushalt in Deutschland gibt es IKEA-Produkte.",100,"pos",47,65.9333333333333,28.846301165125
2461,"plau","Eine zufällig ausgewählte Person in Deutschland besitzt KEIN Gerät, das sich mit dem Internet verbinden kann.",100,"neg",40,91.2,7.75065979596107
2461,"plau","Ein zufällig ausgewähltes deutsches Geschäft existiert seit mehr als 5 Jahren.",60,"pos",44,61.9777777777778,21.3056638744563
2461,"plau","Eine zufällig ausgewählte Person in Deutschland geht täglich im Durchschnitt mehr als 50 Schritte.",80,"pos",36,93.0222222222222,9.18122810385133
2461,"plau","Ein zufällig ausgewähltes Haus in Deutschland hat NICHT mehr als 2 Stockwerke.",70,"neg",35,55.6888888888889,23.5775530982545
2461,"plau","In einem zufällig ausgewählten Jahr im Winter wird es in Deutschland KEINE Schneestürme geben.",10,"neg",37,38.3333333333333,34.1487388293677
2461,"plau","Eine zufällig ausgewählte Person in Deutschland wurde in einem Krankenhaus geboren.",90,"pos",43,90.1777777777778,7.84592797944168
2461,"plau","Eine zufällig ausgewählte Person in Deutschland wird sich im Laufe ihres Lebens KEINE Grippe einfangen.",90,"neg",42,86.4444444444444,17.0100980109885
2461,"plau","In einem zufällig ausgewählten Stadtteil in Deutschland gibt es KEINE Bäckerei.",80,"neg",45,86.6,15.9236816208952
2461,"plau","In einem zufällig ausgewählten Jahr wird die Höchsttemperatur in Deutschland 32°C oder mehr erreichen.",32,"pos",39,69.3111111111111,30.0286395282769
2461,"plau","An einem zufällig ausgewählten Tag im August wird das Wetter in Berlin NICHT trocken sein.",50,"neg",38,64.2888888888889,14.7009928888899
2458,"plau","Ein zufällig ausgewählter achtjähriger deutscher Junge spielt gerne Fußball.",90,"pos",15,69.1666666666667,17.6122416776108
2458,"plau","Ein zufällig ausgewählter deutscher Erwachsener kann Fahrrad fahren.",95,"pos",17,87.0476190476191,9.62960977593077
2458,"plau","Ein zufällig ausgewähltes deutsches Geschäft existiert NICHT seit mehr als 3 Jahren.",66,"neg",20,68.9285714285714,19.1086659655398
